,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status
209,312947,Al Shabab,Abha,,,Prince Khalid Bin Sultan Stadium,,2020-08-24T19:00:00+03:00,2019/2020,,,,,,,27,Not Started
210,312948,Al-Hazm,Al-Fateh,,,Ar-Rass Stadium,,2020-08-24T19:10:00+03:00,2019/2020,,,,,,,27,Not Started
211,312946,Al-Ittihad FC,Al-Fayha,,,King Abdullah Sports City,,2020-08-24T20:50:00+03:00,2019/2020,,,,,,,27,Not Started
212,312945,Al-Hilal Saudi FC,Al-Faisaly FC,,,King Saud University Stadium,,2020-08-25T19:00:00+03:00,2019/2020,,,,,,,27,Not Started
213,312943,Dhamk,Al-Ahli Jeddah,,,Prince Sultan bin Abdul Aziz Stadium,,2020-08-25T19:05:00+03:00,2019/2020,,,,,,,27,Not Started
214,312944,Al Wehda Club,Al Taawon,,,King Abdul Aziz Stadium,,2020-08-25T19:20:00+03:00,2019/2020,,,,,,,27,Not Started
215,312942,Al-Nassr,Al-Adalah,,,Prince Faisal bin Fahd Stadium,,2020-08-25T20:50:00+03:00,2019/2020,,,,,,,27,Not Started
216,312949,Al-Adalah,Al-Raed,,,Prince Abdullah bin Jalawi Sports City Stadium,,2020-08-29T18:40:00+03:00,2019/2020,,,,,,,28,Not Started
217,312952,Dhamk,Abha,,,Prince Sultan bin Abdul Aziz Stadium,,2020-08-29T19:00:00+03:00,2019/2020,,,,,,,28,Not Started
218,312953,Al-Nassr,Al-Fayha,,,Prince Faisal bin Fahd Stadium,,2020-08-29T20:40:00+03:00,2019/2020,,,,,,,28,Not Started
219,312954,Al-Hilal Saudi FC,Al-Hazm,,,King Saud University Stadium,,2020-08-29T20:40:00+03:00,2019/2020,,,,,,,28,Not Started
220,312951,Al-Fateh,Al-Ittihad FC,,,Prince Abdullah bin Jalawi Sports City Stadium,,2020-08-30T18:40:00+03:00,2019/2020,,,,,,,28,Not Started
221,312950,Al-Faisaly FC,Al Wehda Club,,,Al Majma'ah Sports City Stadium,,2020-08-30T18:55:00+03:00,2019/2020,,,,,,,28,Not Started
222,312955,Al Taawon,Al-Ettifaq,,,King Abdullah Sport City Stadium,,2020-08-30T19:00:00+03:00,2019/2020,,,,,,,28,Not Started
223,312956,Al-Ahli Jeddah,Al Shabab,,,King Abdullah Sports City,,2020-08-30T20:40:00+03:00,2019/2020,,,,,,,28,Not Started
224,312957,Abha,Al-Ahli Jeddah,,,Prince Sultan bin Abdul Aziz Stadium,,2020-09-04T20:35:00+03:00,2019/2020,,,,,,,29,Not Started
